# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0221698       	3.56422440e+02	-1.06289187e-18	-7.00643454e-02	2.11295375e-19	1.48996779e-03	4.14858367e-18	1.78211220e+02	1.78211220e+02	3.61713773e-18	-4.68002960e-18	-3.35422049e-02	-3.65221405e-02
0.0425841       	1.59141135e+01	1.41704344e-18	-6.32378030e-02	-1.04140147e-20	2.60857198e-03	8.91691426e-19	7.95705676e+00	7.95705676e+00	1.60021315e-18	-1.83169704e-19	-2.90103295e-02	-3.42274735e-02
0.0628021       	1.04079721e+01	-1.69385758e-19	-6.06995001e-02	8.91519762e-19	3.74383225e-03	2.20884108e-19	5.20398605e+00	5.20398605e+00	1.36191229e-19	-3.05576987e-19	-2.66059178e-02	-3.40935823e-02
0.0826865       	8.06201589e+00	-1.94265454e-18	-6.04062471e-02	1.86858676e-18	4.99723158e-03	1.53565427e-19	4.03100795e+00	4.03100795e+00	-8.17761843e-19	-1.12489270e-18	-2.52058920e-02	-3.52003551e-02
0.102227        	7.27413786e+00	1.75606350e-18	-6.07631975e-02	-1.46708410e-18	6.34730669e-03	7.38980764e-19	3.63706893e+00	3.63706893e+00	1.61701251e-18	1.39050988e-19	-2.40342920e-02	-3.67289054e-02
0.121396        	6.81293712e+00	1.95967993e-18	-5.84406881e-02	1.64903417e-18	7.44119378e-03	2.67835933e-19	3.40646856e+00	3.40646856e+00	1.24767590e-18	7.12004033e-19	-2.17791503e-02	-3.66615378e-02
0.140241        	6.46467033e+00	2.83344167e-18	-6.79459231e-02	1.96121163e-18	9.95859474e-03	4.97604985e-19	3.23233516e+00	3.23233516e+00	1.91432582e-18	9.19115848e-19	-2.40143668e-02	-4.39315563e-02
0.158773        	6.20501661e+00	3.14456289e-19	-5.42746492e-02	1.23089495e-18	9.45829189e-03	6.54912003e-19	3.10250831e+00	3.10250831e+00	8.12140148e-19	-4.97683859e-19	-1.76790327e-02	-3.65956165e-02
0.17707         	5.98963009e+00	-2.22246728e-19	-5.67013690e-02	7.94878917e-19	1.10702222e-02	2.18094845e-19	2.99481505e+00	2.99481505e+00	1.06971481e-19	-3.29218209e-19	-1.72804624e-02	-3.94209067e-02
0.195136        	5.80600113e+00	2.43266982e-20	-5.78020666e-02	-6.99844420e-20	1.25325612e-02	7.23486398e-20	2.90300057e+00	2.90300057e+00	8.45119889e-20	-6.01852907e-20	-1.63684721e-02	-4.14335945e-02
0.213064        	5.63945785e+00	2.08444610e-18	-5.63496890e-02	4.32060721e-19	1.34884037e-02	4.43791953e-19	2.81972892e+00	2.81972892e+00	1.48601500e-18	5.98431098e-19	-1.46864408e-02	-4.16632482e-02
0.230847        	5.47428446e+00	1.35413273e-18	-5.63100230e-02	-7.39999675e-19	1.46853914e-02	6.90473771e-19	2.73714223e+00	2.73714223e+00	1.36754013e-18	-1.34074081e-20	-1.34696201e-02	-4.28404030e-02
0.248567        	5.30909571e+00	7.05512374e-19	-5.68977312e-02	-4.95508801e-19	1.59950300e-02	5.22703013e-19	2.65454785e+00	2.65454785e+00	8.75459200e-19	-1.69946826e-19	-1.24538356e-02	-4.44438955e-02
0.266281        	5.14671969e+00	1.24868229e-18	-5.61234709e-02	-4.79020525e-20	1.70576615e-02	5.36243435e-19	2.57335985e+00	2.57335985e+00	1.16058458e-18	8.80977111e-20	-1.10040739e-02	-4.51193970e-02
