# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0221698       	(3.56422440e+02 -7.00643454e-02 1.06289187e-18)	(3.50736060e+02 -6.96883641e-02 7.59271363e-19)	(5.68638041e+00 -3.75981319e-04 3.03620508e-19)
0.0425841       	(1.59141135e+01 -6.32378030e-02 -1.41704344e-18)	(1.09255493e+01 -6.26549724e-02 -1.49318350e-18)	(4.98856424e+00 -5.82830530e-04 7.61400542e-20)
0.0628021       	(1.04079721e+01 -6.06995001e-02 1.69385758e-19)	(5.88208531e+00 -5.99215444e-02 1.72321385e-19)	(4.52588679e+00 -7.77955703e-04 -2.93562715e-21)
0.0826865       	(8.06201589e+00 -6.04062471e-02 1.94265454e-18)	(3.86149364e+00 -5.94401961e-02 1.71781710e-18)	(4.20052225e+00 -9.66050936e-04 2.24837436e-19)
0.102227        	(7.27413786e+00 -6.07631975e-02 -1.75606350e-18)	(3.31403510e+00 -5.96012920e-02 -1.90923169e-18)	(3.96010276e+00 -1.16190544e-03 1.53168184e-19)
0.121396        	(6.81293712e+00 -5.84406881e-02 -1.95967993e-18)	(3.03750835e+00 -5.70757401e-02 -1.62292118e-18)	(3.77542877e+00 -1.36494796e-03 -3.36758748e-19)
0.140241        	(6.46467033e+00 -6.79459231e-02 -2.83344167e-18)	(2.83593790e+00 -6.63418449e-02 -2.68068830e-18)	(3.62873243e+00 -1.60407817e-03 -1.52753361e-19)
0.158773        	(6.20501661e+00 -5.42746492e-02 -3.14456289e-19)	(2.69896319e+00 -5.24792948e-02 -4.29044812e-19)	(3.50605342e+00 -1.79535441e-03 1.14588523e-19)
0.17707         	(5.98963009e+00 -5.67013690e-02 2.22246728e-19)	(2.58998179e+00 -5.46965581e-02 -3.53724209e-20)	(3.39964830e+00 -2.00481092e-03 2.57619149e-19)
0.195136        	(5.80600113e+00 -5.78020666e-02 -2.43266982e-20)	(2.50296325e+00 -5.55675256e-02 -1.56978663e-19)	(3.30303788e+00 -2.23454096e-03 1.32651964e-19)
0.213064        	(5.63945785e+00 -5.63496890e-02 -2.08444610e-18)	(2.42441742e+00 -5.39240680e-02 -1.95071757e-18)	(3.21504043e+00 -2.42562100e-03 -1.33728534e-19)
0.230847        	(5.47428446e+00 -5.63100230e-02 -1.35413273e-18)	(2.34021151e+00 -5.36978177e-02 -1.29910160e-18)	(3.13407295e+00 -2.61220537e-03 -5.50311288e-20)
0.248567        	(5.30909571e+00 -5.68977312e-02 -7.05512374e-19)	(2.25196974e+00 -5.40984140e-02 -5.64540555e-19)	(3.05712597e+00 -2.79931719e-03 -1.40971819e-19)
0.266281        	(5.14671969e+00 -5.61234709e-02 -1.24868229e-18)	(2.16355394e+00 -5.30950570e-02 -1.28667048e-18)	(2.98316575e+00 -3.02841388e-03 3.79881907e-20)
0.283976        	(4.98409841e+00 -5.63854006e-02 -1.47650973e-18)	(2.06974992e+00 -5.31048638e-02 -1.39185791e-18)	(2.91434849e+00 -3.28053680e-03 -8.46518250e-20)
0.301703        	(4.82504912e+00 -5.60121747e-02 -2.68985800e-18)	(1.97483815e+00 -5.24309369e-02 -2.79858056e-18)	(2.85021096e+00 -3.58123780e-03 1.08722561e-19)
0.319494        	(4.66969508e+00 -5.62041286e-02 -1.00955881e-18)	(1.87928111e+00 -5.22875488e-02 -1.34982660e-18)	(2.79041397e+00 -3.91657975e-03 3.40267790e-19)
0.337348        	(4.51909032e+00 -5.54198701e-02 -1.09719901e-18)	(1.78511820e+00 -5.11419775e-02 -9.25485554e-19)	(2.73397212e+00 -4.27789258e-03 -1.71713459e-19)
0.355276        	(4.37168654e+00 -5.46006619e-02 -1.46457000e-18)	(1.69087891e+00 -4.98548385e-02 -1.31601643e-18)	(2.68080763e+00 -4.74582345e-03 -1.48553577e-19)
0.373298        	(4.22936670e+00 -5.27907611e-02 -2.36461312e-18)	(1.59867633e+00 -4.75244495e-02 -2.37320245e-18)	(2.63069037e+00 -5.26631156e-03 8.58933529e-21)
0.391426        	(4.09086436e+00 -5.16565341e-02 -9.31787867e-19)	(1.50712185e+00 -4.58047826e-02 -9.65869974e-19)	(2.58374251e+00 -5.85175150e-03 3.40821068e-20)
0.409657        	(3.95858734e+00 -5.11101744e-02 -1.02896945e-18)	(1.41876542e+00 -4.46158535e-02 -9.67761563e-19)	(2.53982192e+00 -6.49432093e-03 -6.12078916e-20)
0.427998        	(3.83264686e+00 -4.94572122e-02 -1.41633644e-18)	(1.33387152e+00 -4.22193206e-02 -1.29041113e-18)	(2.49877534e+00 -7.23789167e-03 -1.25925307e-19)
0.44646         	(3.71541035e+00 -4.87421638e-02 -2.39508259e-18)	(1.25510698e+00 -4.06820071e-02 -2.37432565e-18)	(2.46030338e+00 -8.06015679e-03 -2.07569400e-20)
0.465048        	(3.60412288e+00 -4.47716327e-02 2.60159344e-19)	(1.17980042e+00 -3.59125976e-02 -6.13146601e-20)	(2.42432245e+00 -8.85903518e-03 3.21474004e-19)
0.483765        	(3.50205641e+00 -4.24545595e-02 -5.47963795e-19)	(1.11164786e+00 -3.27824143e-02 -7.23091663e-19)	(2.39040855e+00 -9.67214512e-03 1.75127869e-19)
0.502612        	(3.40479623e+00 -3.76836556e-02 -1.99904965e-18)	(1.04628159e+00 -2.71492760e-02 -1.86366877e-18)	(2.35851464e+00 -1.05343795e-02 -1.35380881e-19)
0.52159         	(3.31270161e+00 -4.62084391e-02 -1.29795896e-18)	(9.84326470e-01 -3.47531857e-02 -1.33349074e-18)	(2.32837514e+00 -1.14552534e-02 3.55317778e-20)
0.540696        	(3.22726454e+00 -3.97630011e-02 2.66269344e-19)	(9.27530047e-01 -2.73663819e-02 1.56022564e-19)	(2.29973449e+00 -1.23966193e-02 1.10246780e-19)
0.55993         	(3.14783406e+00 -2.79702292e-02 -8.30422417e-19)	(8.75645690e-01 -1.46770356e-02 -8.59754361e-19)	(2.27218837e+00 -1.32931937e-02 2.93319441e-20)
0.579293        	(3.07286451e+00 -3.03616826e-02 -7.29788615e-19)	(8.27373340e-01 -1.61241942e-02 -5.08118777e-19)	(2.24549117e+00 -1.42374884e-02 -2.21669838e-19)
0.598786        	(3.00136677e+00 -2.87073808e-02 -5.10708495e-19)	(7.81912350e-01 -1.35132557e-02 -4.61021990e-19)	(2.21945442e+00 -1.51941251e-02 -4.96865052e-20)
0.618413        	(2.93422411e+00 -2.71013584e-02 -4.96353627e-19)	(7.40227496e-01 -1.09169656e-02 -4.38336458e-19)	(2.19399661e+00 -1.61843927e-02 -5.80171685e-20)
0.638176        	(2.86954236e+00 -2.76207972e-02 -6.36807320e-19)	(7.00522322e-01 -1.04324217e-02 -4.01668755e-19)	(2.16902004e+00 -1.71883756e-02 -2.35138565e-19)
0.658078        	(2.80824644e+00 -2.44286282e-02 -3.43671526e-19)	(6.63789036e-01 -6.17968285e-03 -4.62685401e-19)	(2.14445741e+00 -1.82489454e-02 1.19013875e-19)
0.678124        	(2.74951792e+00 -2.21543082e-02 -3.57195010e-19)	(6.29411950e-01 -2.79291439e-03 -4.63131659e-19)	(2.12010597e+00 -1.93613938e-02 1.05936649e-19)
0.698316        	(2.69293562e+00 -1.95113486e-02 -1.82789177e-19)	(5.96944291e-01 1.05228998e-03 -2.83314321e-19)	(2.09599132e+00 -2.05636386e-02 1.00525144e-19)
0.718661        	(2.63828146e+00 -1.66355496e-02 -7.01313649e-19)	(5.66370085e-01 5.19538643e-03 -5.83277719e-19)	(2.07191138e+00 -2.18309360e-02 -1.18035930e-19)
0.739164        	(2.58599735e+00 -1.31498195e-02 -3.16924655e-19)	(5.38062451e-01 1.00293680e-02 -2.84583898e-19)	(2.04793490e+00 -2.31791875e-02 -3.23407567e-20)
0.759832        	(2.53490300e+00 -9.86461277e-03 -5.81382238e-19)	(5.11012474e-01 1.46973551e-02 -6.40050717e-19)	(2.02389053e+00 -2.45619679e-02 5.86684793e-20)
0.78067         	(2.48619631e+00 -5.81995286e-03 -7.71960444e-19)	(4.86278307e-01 2.02322886e-02 -6.42054877e-19)	(1.99991800e+00 -2.60522414e-02 -1.29905567e-19)
0.801688        	(2.43814661e+00 -2.88054954e-03 -5.99163532e-19)	(4.62344202e-01 2.46543092e-02 -5.93267405e-19)	(1.97580241e+00 -2.75348587e-02 -5.89612717e-21)
