# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0221698       	(2.11295375e-19 4.14858367e-18 -1.48996779e-03)	(6.70619257e-19 5.14615792e-18 -1.39045465e-03)	(-4.59323881e-19 -9.97574249e-19 -9.95131470e-05)
0.0425841       	(-1.04140147e-20 8.91691426e-19 -2.60857198e-03)	(-1.46081975e-19 8.77923078e-19 -2.40114709e-03)	(1.35667961e-19 1.37683475e-20 -2.07424889e-04)
0.0628021       	(8.91519762e-19 2.20884108e-19 -3.74383225e-03)	(5.33204057e-19 -4.72892809e-20 -3.38642802e-03)	(3.58315705e-19 2.68173389e-19 -3.57404224e-04)
0.0826865       	(1.86858676e-18 1.53565427e-19 -4.99723158e-03)	(1.59259969e-18 2.73175831e-19 -4.42239252e-03)	(2.75987073e-19 -1.19610404e-19 -5.74839061e-04)
0.102227        	(-1.46708410e-18 7.38980764e-19 -6.34730669e-03)	(-1.15181739e-18 7.13948358e-19 -5.48165748e-03)	(-3.15266715e-19 2.50324061e-20 -8.65649208e-04)
0.121396        	(1.64903417e-18 2.67835933e-19 -7.44119378e-03)	(1.54555610e-18 7.35852967e-20 -6.23281420e-03)	(1.03478069e-19 1.94250636e-19 -1.20837957e-03)
0.140241        	(1.96121163e-18 4.97604985e-19 -9.95859474e-03)	(2.14710979e-18 3.14004245e-19 -8.36790563e-03)	(-1.85898160e-19 1.83600740e-19 -1.59068911e-03)
0.158773        	(1.23089495e-18 6.54912003e-19 -9.45829189e-03)	(1.21784603e-18 6.54502886e-19 -7.49270784e-03)	(1.30489254e-20 4.09117627e-22 -1.96558406e-03)
0.17707         	(7.94878917e-19 2.18094845e-19 -1.10702222e-02)	(7.96546143e-19 5.11756774e-19 -8.70738705e-03)	(-1.66722638e-21 -2.93661929e-19 -2.36283510e-03)
0.195136        	(-6.99844420e-20 7.23486398e-20 -1.25325612e-02)	(3.15031240e-20 1.50176119e-19 -9.74635968e-03)	(-1.01487566e-19 -7.78274794e-20 -2.78620150e-03)
