# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0221698       	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0425841       	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0628021       	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0826865       	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.102227        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.121396        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.140241        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.158773        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.17707         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.195136        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.213064        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.230847        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.248567        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.266281        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.283976        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.301703        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.319494        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.337348        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.355276        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.373298        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.391426        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.409657        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.427998        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.44646         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.465048        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.483765        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.502612        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.52159         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.540696        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.55993         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.579293        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.598786        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.618413        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.638176        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.658078        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.678124        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.698316        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.718661        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.739164        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.759832        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.78067         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.801688        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.822892        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.844291        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.865896        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.887716        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.909754        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.932022        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.954531        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.977293        	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.00032         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.02363         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.04723         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.07114         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.09537         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.11995         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.14489         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.17023         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.19598         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.22218         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.24888         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.2761          	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.3039          	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.33234         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.36148         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.39138         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.42161         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.45189         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.48227         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.51269         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.54322         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.57381         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.60424         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.63444         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.6645          	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.69436         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.72406         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.75356         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.7829          	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.81204         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.84102         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.8698          	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.89843         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.92685         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.95514         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.98323         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.01118         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.03895         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.06658         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.09403         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.12136         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.14852         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.17557         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.20247         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.22924         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.25581         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.28222         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.30844         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
2.33452         	-1.00000000e+02
# Region type : patch in
# Faces         : 80
# Area          : 4.00000000e+01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
