# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.0221698       	U               	(1.30211079e+00 -1.00705551e+00 -4.13258432e-17)	(1.19701676e+00 4.34263808e-01 0.00000000e+00)	(4.07092509e+00 1.36885245e+00 2.63775252e-17)	(-3.62556188e-01 1.03680493e+00 1.23401067e-17)
0.0221698       	p               	-9.94061916e+01	(1.05336012e+00 -4.06193307e-02 1.44245317e-17)	1.22811395e+02	(-1.01345612e+00 4.06193339e-02 -1.36426365e-17)
0.0425841       	U               	(7.85206180e-01 -1.66982707e+00 -7.25493786e-18)	(1.04191370e+00 4.62658917e-01 0.00000000e+00)	(4.17895046e+00 1.29033975e+00 8.14690063e-18)	(3.38278464e-01 -1.06357308e+00 0.00000000e+00)
0.0425841       	p               	-8.74191208e+00	(2.40116737e-01 -1.01443077e+00 -4.00348534e-17)	5.87696170e+00	(-9.95089521e-01 4.06193063e-02 0.00000000e+00)
0.0628021       	U               	(7.00698291e-01 -1.67350030e+00 -4.19268107e-18)	(1.06007836e+00 4.62658973e-01 1.23473527e-17)	(4.30198019e+00 5.39226854e-01 4.39577897e-18)	(1.94883216e-01 -1.16988480e+00 2.17419127e-17)
0.0628021       	p               	-8.24728160e+00	(1.78085397e-01 -1.02709274e+00 4.24316954e-17)	4.13722677e+00	(-9.76903336e-01 4.06193245e-02 1.36392922e-17)
0.0826865       	U               	(1.89062170e+00 -2.32533590e+00 -1.26410857e-18)	(8.85549980e-01 7.49835064e-01 0.00000000e+00)	(4.42116221e+00 3.93443262e-01 4.16739570e-18)	(-5.55624035e-02 1.09718654e+00 7.81924177e-19)
0.0826865       	p               	-8.02814834e+00	(1.95966288e-01 -1.02709273e+00 0.00000000e+00)	3.31107149e+00	(-9.59024415e-01 4.06193507e-02 0.00000000e+00)
0.102227        	U               	(1.51145273e+00 -2.23072820e+00 -1.96286682e-18)	(9.59572528e-01 6.83977626e-01 -1.23809051e-17)	(4.34599311e+00 5.74902330e-01 3.88269008e-18)	(-1.38175372e-01 1.15562986e+00 3.29407790e-17)
0.102227        	p               	-7.83975579e+00	(2.13533180e-01 -1.02709272e+00 -1.44052587e-17)	2.89273917e+00	(-9.41454965e-01 4.06193459e-02 0.00000000e+00)
0.121396        	U               	(1.85174888e+00 -2.32300557e+00 -2.03259755e-18)	(9.20313593e-01 7.49835070e-01 -1.20162280e-17)	(4.20210775e+00 6.96377533e-01 2.08928678e-18)	(-1.06506586e-01 1.08374238e+00 6.17535261e-17)
0.121396        	p               	-7.68382628e+00	(1.49797930e-01 -1.03340793e+00 -1.36432945e-17)	2.68758308e+00	(-9.24228369e-01 4.06193547e-02 2.80517114e-17)
0.140241        	U               	(1.47590469e+00 -2.21834976e+00 -1.40666315e-18)	(9.93695090e-01 6.83977635e-01 -1.23867158e-17)	(4.16806737e+00 5.43140114e-01 4.18254136e-18)	(-1.19253163e-01 1.23018891e+00 3.07520095e-17)
0.140241        	p               	-7.56744151e+00	(1.66724285e-01 -1.03340792e+00 -1.36433708e-17)	2.56661138e+00	(-1.12709276e+00 4.92598769e-02 0.00000000e+00)
0.158773        	U               	(1.46589398e+00 -2.21124713e+00 -2.92342358e-18)	(1.01032697e+00 6.83977626e-01 0.00000000e+00)	(4.23762156e+00 2.64453309e-01 3.31662162e-18)	(-5.36107061e-03 1.24528563e+00 3.00142935e-17)
0.158773        	p               	-7.47057579e+00	(1.83361949e-01 -1.03340793e+00 0.00000000e+00)	2.62602286e+00	(1.17615317e+00 -4.06191961e-02 0.00000000e+00)
